REF_DATE,Provinces,DGUID,TypeIndex,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,ValueIndex,STATUS,SYMBOL,TERMINATED,DECIMALS
1981-01-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,units,0,v111955446,2.2,,..,,,1
1981-01-01,Prince Edward Island,2016A000211,House only,"Index, 201612=100",347,units,0,v111955455,5.2,,..,,,1
1981-01-01,Nova Scotia,2016A000212,House only,"Index, 201612=100",347,units,0,v111955461,7.2,,..,,,1
1981-01-01,New Brunswick,2016A000213,House only,"Index, 201612=100",347,units,0,v111955467,9.2,,..,,,1
1981-01-01,Quebec,2016A000224,House only,"Index, 201612=100",347,units,0,v111955473,11.2,,..,,,1
1981-01-01,Ontario,2016A000235,House only,"Index, 201612=100",347,units,0,v111955491,17.2,,..,,,1
1981-01-01,Prairie Region,2016A00014,House only,"Index, 201612=100",347,units,0,v111955524,28.2,,..,,,1
1981-01-01,Manitoba,2016A000246,House only,"Index, 201612=100",347,units,0,v111955527,29.2,,..,,,1
1981-01-01,Saskatchewan,2016A000247,House only,"Index, 201612=100",347,units,0,v111955533,31.2,,..,,,1
1981-01-01,Alberta,2016A000248,House only,"Index, 201612=100",347,units,0,v111955542,34.2,,..,,,1
1981-01-01,British Columbia,2016A000259,House only,"Index, 201612=100",347,units,0,v111955551,37.2,,..,,,1
1981-02-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,units,0,v111955446,2.2,,..,,,1
1981-02-01,Prince Edward Island,2016A000211,House only,"Index, 201612=100",347,units,0,v111955455,5.2,,..,,,1
1981-02-01,Nova Scotia,2016A000212,House only,"Index, 201612=100",347,units,0,v111955461,7.2,,..,,,1
1981-02-01,New Brunswick,2016A000213,House only,"Index, 201612=100",347,units,0,v111955467,9.2,,..,,,1
1981-02-01,Quebec,2016A000224,House only,"Index, 201612=100",347,units,0,v111955473,11.2,,..,,,1
1981-02-01,Ontario,2016A000235,House only,"Index, 201612=100",347,units,0,v111955491,17.2,,..,,,1
1981-02-01,Prairie Region,2016A00014,House only,"Index, 201612=100",347,units,0,v111955524,28.2,,..,,,1
1981-02-01,Manitoba,2016A000246,House only,"Index, 201612=100",347,units,0,v111955527,29.2,,..,,,1
1981-02-01,Saskatchewan,2016A000247,House only,"Index, 201612=100",347,units,0,v111955533,31.2,,..,,,1
1981-02-01,Alberta,2016A000248,House only,"Index, 201612=100",347,units,0,v111955542,34.2,,..,,,1
1981-02-01,British Columbia,2016A000259,House only,"Index, 201612=100",347,units,0,v111955551,37.2,,..,,,1
1981-03-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,units,0,v111955446,2.2,,..,,,1
1981-03-01,Prince Edward Island,2016A000211,House only,"Index, 201612=100",347,units,0,v111955455,5.2,,..,,,1
1981-03-01,Nova Scotia,2016A000212,House only,"Index, 201612=100",347,units,0,v111955461,7.2,,..,,,1
1981-03-01,New Brunswick,2016A000213,House only,"Index, 201612=100",347,units,0,v111955467,9.2,,..,,,1
1981-03-01,Quebec,2016A000224,House only,"Index, 201612=100",347,units,0,v111955473,11.2,,..,,,1
1981-03-01,Ontario,2016A000235,House only,"Index, 201612=100",347,units,0,v111955491,17.2,,..,,,1
